states,inputs,outputs,transitions,Number of AllMutants,Number of killed AllMutants OracleOutput,Mutation score AllMutants OracleOutput,Number of killed AllMutants OracleState,Mutation score AllMutants OracleState,Number of killed AllMutants OracleOutputAndState,Mutation score AllMutants OracleOutputAndState,Number of ISCMutant,Number of killed ISCMutant OracleOutput,Mutation score ISCMutant OracleOutput,Number of killed ISCMutant OracleState,Mutation score ISCMutant OracleState,Number of killed ISCMutant OracleOutputAndState,Mutation score ISCMutant OracleOutputAndState,Number of COIMutant,Number of killed COIMutant OracleOutput,Mutation score COIMutant OracleOutput,Number of killed COIMutant OracleState,Mutation score COIMutant OracleState,Number of killed COIMutant OracleOutputAndState,Mutation score COIMutant OracleOutputAndState,Number of MOIMutant,Number of killed MOIMutant OracleOutput,Mutation score MOIMutant OracleOutput,Number of killed MOIMutant OracleState,Mutation score MOIMutant OracleState,Number of killed MOIMutant OracleOutputAndState,Mutation score MOIMutant OracleOutputAndState,Number of COOMutant,Number of killed COOMutant OracleOutput,Mutation score COOMutant OracleOutput,Number of killed COOMutant OracleState,Mutation score COOMutant OracleState,Number of killed COOMutant OracleOutputAndState,Mutation score COOMutant OracleOutputAndState,Number of MOOMutant,Number of killed MOOMutant OracleOutput,Mutation score MOOMutant OracleOutput,Number of killed MOOMutant OracleState,Mutation score MOOMutant OracleState,Number of killed MOOMutant OracleOutputAndState,Mutation score MOOMutant OracleOutputAndState,Number of ESCMutant,Number of killed ESCMutant OracleOutput,Mutation score ESCMutant OracleOutput,Number of killed ESCMutant OracleState,Mutation score ESCMutant OracleState,Number of killed ESCMutant OracleOutputAndState,Mutation score ESCMutant OracleOutputAndState,Number of ROTMutant,Number of killed ROTMutant OracleOutput,Mutation score ROTMutant OracleOutput,Number of killed ROTMutant OracleState,Mutation score ROTMutant OracleState,Number of killed ROTMutant OracleOutputAndState,Mutation score ROTMutant OracleOutputAndState,Number of MOTMutant,Number of killed MOTMutant OracleOutput,Mutation score MOTMutant OracleOutput,Number of killed MOTMutant OracleState,Mutation score MOTMutant OracleState,Number of killed MOTMutant OracleOutputAndState,Mutation score MOTMutant OracleOutputAndState,Number of MOSMutant,Number of killed MOSMutant OracleOutput,Mutation score MOSMutant OracleOutput,Number of killed MOSMutant OracleState,Mutation score MOSMutant OracleState,Number of killed MOSMutant OracleOutputAndState,Mutation score MOSMutant OracleOutputAndState,Number of SSRMutant,Number of killed SSRMutant OracleOutput,Mutation score SSRMutant OracleOutput,Number of killed SSRMutant OracleState,Mutation score SSRMutant OracleState,Number of killed SSRMutant OracleOutputAndState,Mutation score SSRMutant OracleOutputAndState,Number of ESRMutant,Number of killed ESRMutant OracleOutput,Mutation score ESRMutant OracleOutput,Number of killed ESRMutant OracleState,Mutation score ESRMutant OracleState,Number of killed ESRMutant OracleOutputAndState,Mutation score ESRMutant OracleOutputAndState,Number of DOTMutant,Number of killed DOTMutant OracleOutput,Mutation score DOTMutant OracleOutput,Number of killed DOTMutant OracleState,Mutation score DOTMutant OracleState,Number of killed DOTMutant OracleOutputAndState,Mutation score DOTMutant OracleOutputAndState,Average number of test cases killed AllMutants OracleOutput,Average number of test cases killed AllMutants OracleState,Average number of test cases killed AllMutants OracleOutputAndState,Average number of test cases killed ISCMutant OracleOutput,Average number of test cases killed ISCMutant OracleState,Average number of test cases killed ISCMutant OracleOutputAndState,Average number of test cases killed COIMutant OracleOutput,Average number of test cases killed COIMutant OracleState,Average number of test cases killed COIMutant OracleOutputAndState,Average number of test cases killed MOIMutant OracleOutput,Average number of test cases killed MOIMutant OracleState,Average number of test cases killed MOIMutant OracleOutputAndState,Average number of test cases killed COOMutant OracleOutput,Average number of test cases killed COOMutant OracleState,Average number of test cases killed COOMutant OracleOutputAndState,Average number of test cases killed MOOMutant OracleOutput,Average number of test cases killed MOOMutant OracleState,Average number of test cases killed MOOMutant OracleOutputAndState,Average number of test cases killed ESCMutant OracleOutput,Average number of test cases killed ESCMutant OracleState,Average number of test cases killed ESCMutant OracleOutputAndState,Average number of test cases killed ROTMutant OracleOutput,Average number of test cases killed ROTMutant OracleState,Average number of test cases killed ROTMutant OracleOutputAndState,Average number of test cases killed MOTMutant OracleOutput,Average number of test cases killed MOTMutant OracleState,Average number of test cases killed MOTMutant OracleOutputAndState,Average number of test cases killed MOSMutant OracleOutput,Average number of test cases killed MOSMutant OracleState,Average number of test cases killed MOSMutant OracleOutputAndState,Average number of test cases killed SSRMutant OracleOutput,Average number of test cases killed SSRMutant OracleState,Average number of test cases killed SSRMutant OracleOutputAndState,Average number of test cases killed ESRMutant OracleOutput,Average number of test cases killed ESRMutant OracleState,Average number of test cases killed ESRMutant OracleOutputAndState,Average number of test cases killed DOTMutant OracleOutput,Average number of test cases killed DOTMutant OracleState,Average number of test cases killed DOTMutant OracleOutputAndState,Number of test cases,CoveredStates,CoveredTransitions
5,2,4,6,167,73,0.43712574,61,0.36526945,87,0.52095807,4,4,1,4,1,4,1,6,6,1,4,0.6666667,6,1,6,6,1,6,1,6,1,18,18,1,0,0,18,1,6,6,1,0,0,6,1,19,14,0.7368421,19,1,19,1,6,6,1,6,1,6,1,6,6,1,6,1,6,1,4,4,1,4,1,4,1,6,3,0.5,6,1,6,1,6,0,0,6,1,6,1,80,0,0,0,0,0,0,0.80479455,0.7991803,0.79022986,1,1,1,0.9166667,0.875,0.9166667,0.75,0.75,0.75,0.75,NaN,0.75,0.75,NaN,0.75,0.76785713,0.7631579,0.7631579,0.75,0.7916667,0.7916667,0.75,0.75,0.75,1,1,1,1,0.75,0.75,NaN,0.75,0.75,NaN,NaN,NaN,4,5,6
5,4,2,13,229,120,0.52401745,116,0.5065502,157,0.6855895,4,4,1,4,1,4,1,39,35,0.8974359,28,0.71794873,37,0.94871795,13,13,1,11,0.84615386,13,1,13,13,1,0,0,13,1,13,13,1,0,0,13,1,21,8,0.3809524,21,1,21,1,13,13,1,11,0.84615386,13,1,13,13,1,11,0.84615386,13,1,4,4,1,4,1,4,1,13,4,0.30769232,13,1,13,1,13,0,0,13,1,13,1,70,0,0,0,0,0,0,0.25069445,0.2658046,0.24734606,0.8125,1,1,0.29285714,0.32738096,0.31306306,0.18589742,0.20454545,0.18589742,0.18589742,NaN,0.18589742,0.18589742,NaN,0.18589742,0.16666667,0.18650794,0.18650794,0.20512821,0.22727273,0.22435898,0.18589742,0.20454545,0.18589742,0.47916666,0.47916666,0.47916666,0.25,0.18589742,0.18589742,NaN,0.18589742,0.18589742,NaN,NaN,NaN,12,5,13
5,4,4,14,342,159,0.4649123,154,0.4502924,222,0.64912283,4,4,1,4,1,4,1,42,36,0.85714287,33,0.78571427,42,1,14,14,1,13,0.9285714,14,1,42,42,1,0,0,42,1,14,14,1,0,0,14,1,46,13,0.2826087,46,1,46,1,14,14,1,13,0.9285714,14,1,14,14,1,13,0.9285714,14,1,4,4,1,4,1,4,1,14,4,0.2857143,14,1,14,1,14,0,0,14,1,14,1,120,0,0,0,0,0,0,0.27861637,0.2590909,0.24009009,0.975,1,1,0.32777777,0.34242424,0.30952382,0.19285715,0.2,0.19285715,0.19285715,NaN,0.19285715,0.19285715,NaN,0.19285715,0.37692308,0.19130436,0.19130436,0.27857143,0.25384614,0.2857143,0.19285715,0.2,0.19285715,0.475,0.475,0.475,0.425,0.19285715,0.19285715,NaN,0.19285715,0.19285715,NaN,NaN,NaN,10,5,14
5,4,4,20,313,238,0.76038337,210,0.6709265,313,1,4,4,1,4,1,4,1,60,54,0.9,52,0.8666667,60,1,20,20,1,15,0.75,20,1,60,60,1,0,0,60,1,20,20,1,0,0,20,1,65,28,0.43076923,65,1,65,1,20,20,1,15,0.75,20,1,20,20,1,15,0.75,20,1,4,4,1,4,1,4,1,20,8,0.4,20,1,20,1,20,0,0,20,1,20,1,0,0,NaN,0,NaN,0,NaN,0.18507403,0.19115646,0.17214362,0.85119045,1,1,0.2557319,0.23626372,0.25238097,0.12619048,0.15079366,0.12619048,0.12619048,NaN,0.12619048,0.12619048,NaN,0.12619048,0.15476191,0.12967032,0.12967032,0.20119047,0.25873017,0.20714286,0.12619048,0.15079366,0.12619048,0.4940476,0.4940476,0.4940476,0.16964285,0.12619048,0.12619048,NaN,0.12619048,0.12619048,NaN,NaN,NaN,42,5,20
5,4,6,13,465,204,0.43870968,167,0.35913977,255,0.5483871,4,4,1,4,1,4,1,39,37,0.94871795,35,0.8974359,39,1,13,13,1,11,0.84615386,13,1,65,65,1,0,0,65,1,13,13,1,0,0,13,1,65,35,0.53846157,65,1,65,1,13,13,1,11,0.84615386,13,1,13,13,1,11,0.84615386,13,1,4,4,1,4,1,4,1,13,7,0.53846157,13,1,13,1,13,0,0,13,1,13,1,210,0,0,0,0,0,0,0.21568626,0.24184963,0.21851853,0.7916667,1,1,0.2942943,0.30158728,0.2962963,0.17948717,0.20202021,0.17948717,0.17948717,NaN,0.17948717,0.17948717,NaN,0.17948717,0.15238096,0.17948717,0.17948717,0.22222222,0.27272728,0.23931625,0.17948717,0.20202021,0.17948717,0.5138889,0.5138889,0.5138889,0.14285713,0.17948717,0.17948717,NaN,0.17948717,0.17948717,NaN,NaN,NaN,18,5,13
5,4,8,14,570,234,0.4105263,202,0.35438597,330,0.57894737,4,4,1,4,1,4,1,42,40,0.95238096,29,0.6904762,42,1,14,14,1,13,0.9285714,14,1,98,98,1,0,0,98,1,14,14,1,0,0,14,1,98,28,0.2857143,98,1,98,1,14,14,1,13,0.9285714,14,1,14,14,1,13,0.9285714,14,1,4,4,1,4,1,4,1,14,4,0.2857143,14,1,14,1,14,0,0,14,1,14,1,240,0,0,0,0,0,0,0.2611111,0.240099,0.21848485,1,1,1,0.32,0.3689655,0.3142857,0.18571427,0.19230768,0.18571427,0.18571427,NaN,0.18571427,0.18571427,NaN,0.18571427,0.4,0.18571427,0.18571427,0.22857144,0.23846154,0.22857144,0.18571427,0.19230768,0.18571427,0.575,0.575,0.575,0.4,0.18571427,0.18571427,NaN,0.18571427,0.18571427,NaN,NaN,NaN,10,5,14
5,4,10,20,548,408,0.74452555,328,0.5985401,548,1,4,4,1,4,1,4,1,60,60,1,46,0.76666665,60,1,20,20,1,18,0.9,20,1,180,180,1,0,0,180,1,20,20,1,0,0,20,1,180,72,0.4,180,1,180,1,20,20,1,18,0.9,20,1,20,20,1,18,0.9,20,1,4,4,1,4,1,4,1,20,8,0.4,20,1,20,1,20,0,0,20,1,20,1,0,0,NaN,0,NaN,0,NaN,0.17593138,0.16420732,0.15656935,0.925,1,1,0.252,0.21652174,0.258,0.129,0.1388889,0.129,0.129,NaN,0.129,0.129,NaN,0.129,0.18916667,0.129,0.129,0.241,0.24666665,0.245,0.129,0.1388889,0.129,0.52,0.52,0.52,0.185,0.129,0.129,NaN,0.129,0.129,NaN,NaN,NaN,50,5,20
10,4,2,23,632,231,0.36550632,242,0.38291138,292,0.4620253,9,9,1,9,1,9,1,69,67,0.9710145,65,0.942029,69,1,23,23,1,23,1,23,1,23,23,1,0,0,23,1,23,23,1,0,0,23,1,44,21,0.47727272,44,1,44,1,23,23,1,23,1,23,1,23,23,1,23,1,23,1,9,9,1,9,1,9,1,23,10,0.4347826,23,1,23,1,23,0,0,23,1,23,1,340,0,0,0,0,0,0,0.21326043,0.20639408,0.1980894,0.94736844,1,1,0.21131186,0.20809717,0.21434021,0.14416476,0.14416476,0.14416476,0.14416476,NaN,0.14416476,0.14416476,NaN,0.14416476,0.1829574,0.14712918,0.14712918,0.1853547,0.19679634,0.19679634,0.14416476,0.14416476,0.14416476,0.3508772,0.3508772,0.3508772,0.20526317,0.14416476,0.14416476,NaN,0.14416476,0.14416476,NaN,NaN,NaN,19,10,23
10,4,4,29,909,341,0.3751375,333,0.36633664,465,0.51155114,9,9,1,9,1,9,1,87,73,0.83908045,79,0.90804595,83,0.954023,29,29,1,25,0.86206895,29,1,87,87,1,0,0,87,1,29,29,1,0,0,29,1,103,38,0.36893204,103,1,103,1,29,29,1,25,0.86206895,29,1,29,29,1,25,0.86206895,29,1,9,9,1,9,1,9,1,29,9,0.31034482,29,1,29,1,29,0,0,29,1,29,1,440,0,0,0,0,0,0,0.16973606,0.16552553,0.14744087,0.95111114,1,1,0.19780822,0.19493671,0.18939759,0.107586205,0.1184,0.107586205,0.107586205,NaN,0.107586205,0.107586205,NaN,0.107586205,0.18421052,0.110291265,0.110291265,0.16413793,0.1792,0.16551724,0.107586205,0.1184,0.107586205,0.30222222,0.30222222,0.30222222,0.18666667,0.107586205,0.107586205,NaN,0.107586205,0.107586205,NaN,NaN,NaN,25,10,29
10,4,4,40,640,474,0.740625,460,0.71875,638,0.996875,9,9,1,9,1,9,1,120,100,0.8333333,106,0.8833333,118,0.98333335,40,40,1,38,0.95,40,1,120,120,1,0,0,120,1,40,40,1,0,0,40,1,142,60,0.4225352,142,1,142,1,40,40,1,38,0.95,40,1,40,40,1,38,0.95,40,1,9,9,1,9,1,9,1,40,16,0.4,40,1,40,1,40,0,0,40,1,40,1,0,0,NaN,0,NaN,0,NaN,0.13807076,0.13222127,0.12262951,0.9152915,1,1,0.18079208,0.16308613,0.17301561,0.08589109,0.08989056,0.08589109,0.08589109,NaN,0.08589109,0.08589109,NaN,0.08589109,0.12161717,0.084785946,0.084785946,0.15148515,0.15216258,0.15717822,0.08589109,0.08989056,0.08589109,0.33443347,0.33443347,0.33443347,0.13428217,0.08589109,0.08589109,NaN,0.08589109,0.08589109,NaN,NaN,NaN,101,10,40
